Curso,Tecnología,Duración en horas,Link,Estado,Fecha de inicio ,Fecha de finalización
Python con Midudev,Python,8,https://www.youtube.com/watch?v=TkN2i-_4N4g&t=15796s,Terminado,02/04/2025,30/04/2025
Python 1 del Gobierno,Python,,https://www.netacad.com/courses/python-essentials-1?courseLang=es-XL&instance_id=0ba92457-0549-4b1a-aa38-e6fe997875cc,No terminado,,
Python 2 del Gobierno,Python,,https://www.netacad.com/courses/python-essentials-2?courseLang=es-XL&instance_id=5f1970d3-097d-4cbd-8ea2-fbbdba2f2e2b,No terminado,,
Data Science One,Python,,https://app.aluracursos.com/loginForm?urlAfterLogin=%5BaHR0cHM6Ly9hcHAuYWx1cmFjdXJzb3MuY29tL2Rhc2hib2FyZA%5D,No terminado,20/02/2025,no lo complete
Ingles,,,,Por hacer,,
Analista de datos,,,https://capacitateparaelempleo.org/cursos/view/81,Por hacer,,
Tio Tech / Power BI,Power BI,,https://eltiotech.com/,Terminado,14/05/2025,23/07/2025
Coursera - Potrero Digital,Marketing Digital,,https://www.coursera.org/programs/crece-con-google-2025-g7b8n,No terminado,30/07/2025,
XAcademy,QA manual,16,https://canvas.instructure.com/courses/12497801,Terminado,30/07/2025,23/09/2025
Quales,Data Proccesing and Power BI,,,Terminado,22/08/2025,15/12/2025
Platzi,Power BI,4,,Terminado,30/07/2025,31/07/2025
Guayed - IBM ,Fundamentos de IA,257,,No terminado,07/08/2025,20/11/2025